,customer_id,address,postcode,state,country,property_valuation,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure
39,9,97736 7th Trail,2023,New South Wales,Australia,12,2017-10-13,False,Approved,Solex,Standard,low,medium,945.04,507.58,40336.0,Lind,Lind,Female,97.0,1973-03-10,Business Systems Development Analyst,Argiculture,Affluent Customer,No,Yes,8.0
40,9,97736 7th Trail,2023,New South Wales,Australia,12,2017-09-30,True,Approved,Solex,Standard,medium,medium,1577.53,826.51,40336.0,Lind,Lind,Female,97.0,1973-03-10,Business Systems Development Analyst,Argiculture,Affluent Customer,No,Yes,8.0
41,9,97736 7th Trail,2023,New South Wales,Australia,12,2017-08-20,False,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,41701.0,Lind,Lind,Female,97.0,1973-03-10,Business Systems Development Analyst,Argiculture,Affluent Customer,No,Yes,8.0
42,9,97736 7th Trail,2023,New South Wales,Australia,12,2017-05-10,False,Approved,Solex,Standard,medium,large,1061.56,733.58,42172.0,Lind,Lind,Female,97.0,1973-03-10,Business Systems Development Analyst,Argiculture,Affluent Customer,No,Yes,8.0
43,9,97736 7th Trail,2023,New South Wales,Australia,12,2017-03-06,False,Approved,WeareA2B,Standard,medium,medium,752.64,205.36,36367.0,Lind,Lind,Female,97.0,1973-03-10,Business Systems Development Analyst,Argiculture,Affluent Customer,No,Yes,8.0
44,9,97736 7th Trail,2023,New South Wales,Australia,12,2017-02-04,False,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,41922.0,Lind,Lind,Female,97.0,1973-03-10,Business Systems Development Analyst,Argiculture,Affluent Customer,No,Yes,8.0
50,12,44339 Golden Leaf Alley,4557,QLD,Australia,4,2017-10-24,True,Approved,Norco Bicycles,Road,high,large,774.53,464.72,37698.0,Flattman,Flattman,Male,58.0,1994-07-21,Nuclear Power Engineer,Manufacturing,Mass Customer,No,No,8.0
51,12,44339 Golden Leaf Alley,4557,QLD,Australia,4,2017-09-16,False,Approved,Norco Bicycles,Standard,medium,small,1216.14,1082.36,33455.0,Flattman,Flattman,Male,58.0,1994-07-21,Nuclear Power Engineer,Manufacturing,Mass Customer,No,No,8.0
52,12,44339 Golden Leaf Alley,4557,QLD,Australia,4,2017-09-04,True,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,42710.0,Flattman,Flattman,Male,58.0,1994-07-21,Nuclear Power Engineer,Manufacturing,Mass Customer,No,No,8.0
53,12,44339 Golden Leaf Alley,4557,QLD,Australia,4,2017-08-21,False,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,40672.0,Flattman,Flattman,Male,58.0,1994-07-21,Nuclear Power Engineer,Manufacturing,Mass Customer,No,No,8.0
54,12,44339 Golden Leaf Alley,4557,QLD,Australia,4,2017-08-21,False,Approved,Giant Bicycles,Standard,medium,large,1812.75,582.48,40336.0,Flattman,Flattman,Male,58.0,1994-07-21,Nuclear Power Engineer,Manufacturing,Mass Customer,No,No,8.0
55,12,44339 Golden Leaf Alley,4557,QLD,Australia,4,2017-07-23,False,Approved,Solex,Standard,medium,medium,100.35,75.26,36367.0,Flattman,Flattman,Male,58.0,1994-07-21,Nuclear Power Engineer,Manufacturing,Mass Customer,No,No,8.0
56,12,44339 Golden Leaf Alley,4557,QLD,Australia,4,2017-02-12,True,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,42710.0,Flattman,Flattman,Male,58.0,1994-07-21,Nuclear Power Engineer,Manufacturing,Mass Customer,No,No,8.0
57,13,2 Sutherland Street,3799,VIC,Australia,6,2017-12-03,True,Approved,Trek Bicycles,Standard,high,medium,495.72,297.43,41922.0,Norcross,Norcross,Male,38.0,1955-02-15,Developer I,Financial Services,High Net Worth,No,Yes,8.0
58,13,2 Sutherland Street,3799,VIC,Australia,6,2017-11-17,False,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,37539.0,Norcross,Norcross,Male,38.0,1955-02-15,Developer I,Financial Services,High Net Worth,No,Yes,8.0
59,13,2 Sutherland Street,3799,VIC,Australia,6,2017-08-02,True,Approved,Norco Bicycles,Standard,medium,small,1216.14,1082.36,34527.0,Norcross,Norcross,Male,38.0,1955-02-15,Developer I,Financial Services,High Net Worth,No,Yes,8.0
60,13,2 Sutherland Street,3799,VIC,Australia,6,2017-04-05,True,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,42105.0,Norcross,Norcross,Male,38.0,1955-02-15,Developer I,Financial Services,High Net Worth,No,Yes,8.0
61,13,2 Sutherland Street,3799,VIC,Australia,6,2017-03-01,True,Approved,Solex,Standard,medium,large,1061.56,733.58,36146.0,Norcross,Norcross,Male,38.0,1955-02-15,Developer I,Financial Services,High Net Worth,No,Yes,8.0
62,13,2 Sutherland Street,3799,VIC,Australia,6,2017-02-16,False,Approved,Solex,Standard,medium,medium,1163.89,589.27,35378.0,Norcross,Norcross,Male,38.0,1955-02-15,Developer I,Financial Services,High Net Worth,No,Yes,8.0
63,13,2 Sutherland Street,3799,VIC,Australia,6,2017-01-06,False,Approved,WeareA2B,Touring,medium,large,1890.39,260.14,36146.0,Norcross,Norcross,Male,38.0,1955-02-15,Developer I,Financial Services,High Net Worth,No,Yes,8.0
64,14,9 Mcbride Trail,2760,New South Wales,Australia,8,2017-11-13,True,Approved,OHM Cycles,Standard,medium,medium,183.86,137.9,35707.0,Kitteman,Kitteman,Female,85.0,1983-03-25,Account Executive,Financial Services,Affluent Customer,No,No,6.0
65,14,9 Mcbride Trail,2760,New South Wales,Australia,8,2017-10-27,True,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,34244.0,Kitteman,Kitteman,Female,85.0,1983-03-25,Account Executive,Financial Services,Affluent Customer,No,No,6.0
66,14,9 Mcbride Trail,2760,New South Wales,Australia,8,2017-05-11,False,Approved,OHM Cycles,Standard,medium,medium,1636.9,44.71,40410.0,Kitteman,Kitteman,Female,85.0,1983-03-25,Account Executive,Financial Services,Affluent Customer,No,No,6.0
67,15,9861 New Castle Avenue,2428,New South Wales,Australia,9,2017-11-25,True,Approved,Norco Bicycles,Standard,medium,small,586.45,521.94,33429.0,Radage,Radage,Male,91.0,2000-07-13,Junior Executive,Manufacturing,Mass Customer,No,No,1.0
68,15,9861 New Castle Avenue,2428,New South Wales,Australia,9,2017-09-20,True,Approved,Solex,Road,medium,medium,416.98,312.74,35560.0,Radage,Radage,Male,91.0,2000-07-13,Junior Executive,Manufacturing,Mass Customer,No,No,1.0
69,15,9861 New Castle Avenue,2428,New South Wales,Australia,9,2017-07-30,False,Approved,WeareA2B,Standard,medium,medium,1992.93,762.63,34115.0,Radage,Radage,Male,91.0,2000-07-13,Junior Executive,Manufacturing,Mass Customer,No,No,1.0
70,15,9861 New Castle Avenue,2428,New South Wales,Australia,9,2017-06-07,True,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,33888.0,Radage,Radage,Male,91.0,2000-07-13,Junior Executive,Manufacturing,Mass Customer,No,No,1.0
71,15,9861 New Castle Avenue,2428,New South Wales,Australia,9,2017-03-10,False,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,38647.0,Radage,Radage,Male,91.0,2000-07-13,Junior Executive,Manufacturing,Mass Customer,No,No,1.0
72,15,9861 New Castle Avenue,2428,New South Wales,Australia,9,2017-01-20,False,Approved,Solex,Standard,medium,medium,71.49,53.62,41245.0,Radage,Radage,Male,91.0,2000-07-13,Junior Executive,Manufacturing,Mass Customer,No,No,1.0
90,19,59 Spaight Circle,2233,New South Wales,Australia,9,2017-03-25,False,Approved,OHM Cycles,Standard,medium,medium,1636.9,44.71,40410.0,Keyson,Keyson,Female,76.0,2001-04-15,Geological Engineer,Manufacturing,High Net Worth,No,No,1.0
91,19,59 Spaight Circle,2233,New South Wales,Australia,9,2017-01-31,False,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,33888.0,Keyson,Keyson,Female,76.0,2001-04-15,Geological Engineer,Manufacturing,High Net Worth,No,No,1.0
92,20,032 Bartelt Crossing,2444,New South Wales,Australia,8,2017-11-29,True,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,39427.0,Firth,Firth,Male,72.0,1980-08-13,Project Manager,Manufacturing,Mass Customer,No,No,11.0
93,20,032 Bartelt Crossing,2444,New South Wales,Australia,8,2017-11-20,False,Approved,WeareA2B,Standard,medium,medium,1762.96,950.52,42688.0,Firth,Firth,Male,72.0,1980-08-13,Project Manager,Manufacturing,Mass Customer,No,No,11.0
94,20,032 Bartelt Crossing,2444,New South Wales,Australia,8,2017-11-01,True,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,37698.0,Firth,Firth,Male,72.0,1980-08-13,Project Manager,Manufacturing,Mass Customer,No,No,11.0
95,20,032 Bartelt Crossing,2444,New South Wales,Australia,8,2017-06-11,False,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,37499.0,Firth,Firth,Male,72.0,1980-08-13,Project Manager,Manufacturing,Mass Customer,No,No,11.0
96,21,18 Jenna Center,2650,New South Wales,Australia,7,2017-12-24,False,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,41922.0,Cammocke,Cammocke,Male,74.0,1980-09-20,Safety Technician I,Manufacturing,Affluent Customer,No,Yes,16.0
97,21,18 Jenna Center,2650,New South Wales,Australia,7,2017-11-17,False,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,34165.0,Cammocke,Cammocke,Male,74.0,1980-09-20,Safety Technician I,Manufacturing,Affluent Customer,No,Yes,16.0
98,21,18 Jenna Center,2650,New South Wales,Australia,7,2017-10-22,False,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,41701.0,Cammocke,Cammocke,Male,74.0,1980-09-20,Safety Technician I,Manufacturing,Affluent Customer,No,Yes,16.0
99,21,18 Jenna Center,2650,New South Wales,Australia,7,2017-08-17,True,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,36361.0,Cammocke,Cammocke,Male,74.0,1980-09-20,Safety Technician I,Manufacturing,Affluent Customer,No,Yes,16.0
100,21,18 Jenna Center,2650,New South Wales,Australia,7,2017-02-12,True,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,36334.0,Cammocke,Cammocke,Male,74.0,1980-09-20,Safety Technician I,Manufacturing,Affluent Customer,No,Yes,16.0
101,24,3 Cordelia Plaza,2153,New South Wales,Australia,10,2017-12-13,False,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,35707.0,Skpsey,Skpsey,Female,55.0,1977-12-03,Research Assistant I,Argiculture,Mass Customer,No,Yes,15.0
102,24,3 Cordelia Plaza,2153,New South Wales,Australia,10,2017-11-13,True,Approved,OHM Cycles,Road,medium,medium,1280.28,829.51,39915.0,Skpsey,Skpsey,Female,55.0,1977-12-03,Research Assistant I,Argiculture,Mass Customer,No,Yes,15.0
103,24,3 Cordelia Plaza,2153,New South Wales,Australia,10,2017-10-31,False,Approved,OHM Cycles,Standard,high,medium,1458.17,874.9,39526.0,Skpsey,Skpsey,Female,55.0,1977-12-03,Research Assistant I,Argiculture,Mass Customer,No,Yes,15.0
104,24,3 Cordelia Plaza,2153,New South Wales,Australia,10,2017-10-12,False,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,38482.0,Skpsey,Skpsey,Female,55.0,1977-12-03,Research Assistant I,Argiculture,Mass Customer,No,Yes,15.0
105,24,3 Cordelia Plaza,2153,New South Wales,Australia,10,2017-10-05,True,Approved,WeareA2B,Standard,low,medium,642.31,513.85,40553.0,Skpsey,Skpsey,Female,55.0,1977-12-03,Research Assistant I,Argiculture,Mass Customer,No,Yes,15.0
106,24,3 Cordelia Plaza,2153,New South Wales,Australia,10,2017-05-13,True,Approved,Giant Bicycles,Standard,high,medium,1274.93,764.96,39880.0,Skpsey,Skpsey,Female,55.0,1977-12-03,Research Assistant I,Argiculture,Mass Customer,No,Yes,15.0
107,24,3 Cordelia Plaza,2153,New South Wales,Australia,10,2017-01-25,False,Approved,Solex,Standard,medium,medium,71.49,53.62,41167.0,Skpsey,Skpsey,Female,55.0,1977-12-03,Research Assistant I,Argiculture,Mass Customer,No,Yes,15.0
108,25,28 5th Center,4413,QLD,Australia,3,2017-12-25,True,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,35455.0,Assaf,Assaf,Male,72.0,1976-12-02,Accounting Assistant III,Financial Services,Mass Customer,No,Yes,21.0
109,25,28 5th Center,4413,QLD,Australia,3,2017-12-01,True,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,37499.0,Assaf,Assaf,Male,72.0,1976-12-02,Accounting Assistant III,Financial Services,Mass Customer,No,Yes,21.0
110,25,28 5th Center,4413,QLD,Australia,3,2017-11-23,False,Approved,Solex,Standard,medium,medium,575.27,431.45,40670.0,Assaf,Assaf,Male,72.0,1976-12-02,Accounting Assistant III,Financial Services,Mass Customer,No,Yes,21.0
111,25,28 5th Center,4413,QLD,Australia,3,2017-09-17,False,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,37838.0,Assaf,Assaf,Male,72.0,1976-12-02,Accounting Assistant III,Financial Services,Mass Customer,No,Yes,21.0
112,25,28 5th Center,4413,QLD,Australia,3,2017-09-04,True,Approved,Solex,Road,medium,medium,416.98,312.74,39526.0,Assaf,Assaf,Male,72.0,1976-12-02,Accounting Assistant III,Financial Services,Mass Customer,No,Yes,21.0
113,25,28 5th Center,4413,QLD,Australia,3,2017-07-10,False,Approved,Solex,Standard,medium,large,1061.56,733.58,36146.0,Assaf,Assaf,Male,72.0,1976-12-02,Accounting Assistant III,Financial Services,Mass Customer,No,Yes,21.0
114,25,28 5th Center,4413,QLD,Australia,3,2017-05-23,True,Approved,Giant Bicycles,Standard,medium,large,1812.75,582.48,38991.0,Assaf,Assaf,Male,72.0,1976-12-02,Accounting Assistant III,Financial Services,Mass Customer,No,Yes,21.0
115,25,28 5th Center,4413,QLD,Australia,3,2017-04-15,False,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,42295.0,Assaf,Assaf,Male,72.0,1976-12-02,Accounting Assistant III,Financial Services,Mass Customer,No,Yes,21.0
116,25,28 5th Center,4413,QLD,Australia,3,2017-04-01,True,Approved,Norco Bicycles,Standard,medium,small,1216.14,1082.36,39031.0,Assaf,Assaf,Male,72.0,1976-12-02,Accounting Assistant III,Financial Services,Mass Customer,No,Yes,21.0
117,25,28 5th Center,4413,QLD,Australia,3,2017-03-08,True,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,38258.0,Assaf,Assaf,Male,72.0,1976-12-02,Accounting Assistant III,Financial Services,Mass Customer,No,Yes,21.0
118,25,28 5th Center,4413,QLD,Australia,3,2017-03-04,True,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,42172.0,Assaf,Assaf,Male,72.0,1976-12-02,Accounting Assistant III,Financial Services,Mass Customer,No,Yes,21.0
119,25,28 5th Center,4413,QLD,Australia,3,2017-02-08,True,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,42696.0,Assaf,Assaf,Male,72.0,1976-12-02,Accounting Assistant III,Financial Services,Mass Customer,No,Yes,21.0
120,26,52 Carey Alley,4740,QLD,Australia,5,2017-04-15,True,Approved,WeareA2B,Road,low,small,1172.78,1043.77,38002.0,Ginnelly,Ginnelly,Female,12.0,1978-06-10,Editor,Financial Services,Mass Customer,No,Yes,16.0
121,26,52 Carey Alley,4740,QLD,Australia,5,2017-04-02,True,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,35667.0,Ginnelly,Ginnelly,Female,12.0,1978-06-10,Editor,Financial Services,Mass Customer,No,Yes,16.0
122,27,96 Texas Plaza,3218,VIC,Australia,7,2017-08-09,False,Approved,Norco Bicycles,Standard,medium,small,1216.14,1082.36,42696.0,Klees,Klees,Male,37.0,1978-09-25,Research Nurse,Health,Mass Customer,No,Yes,12.0
123,27,96 Texas Plaza,3218,VIC,Australia,7,2017-07-25,False,Approved,Solex,Standard,medium,medium,441.49,84.99,38991.0,Klees,Klees,Male,37.0,1978-09-25,Research Nurse,Health,Mass Customer,No,Yes,12.0
124,27,96 Texas Plaza,3218,VIC,Australia,7,2017-07-23,False,Approved,Norco Bicycles,Standard,medium,medium,1555.58,818.01,35455.0,Klees,Klees,Male,37.0,1978-09-25,Research Nurse,Health,Mass Customer,No,Yes,12.0
125,27,96 Texas Plaza,3218,VIC,Australia,7,2017-07-18,True,Approved,WeareA2B,Touring,medium,large,1890.39,260.14,42145.0,Klees,Klees,Male,37.0,1978-09-25,Research Nurse,Health,Mass Customer,No,Yes,12.0
126,27,96 Texas Plaza,3218,VIC,Australia,7,2017-06-18,False,Approved,Norco Bicycles,Standard,low,medium,958.74,748.9,41345.0,Klees,Klees,Male,37.0,1978-09-25,Research Nurse,Health,Mass Customer,No,Yes,12.0
127,27,96 Texas Plaza,3218,VIC,Australia,7,2017-05-28,True,Approved,WeareA2B,Standard,medium,small,1415.01,1259.36,36833.0,Klees,Klees,Male,37.0,1978-09-25,Research Nurse,Health,Mass Customer,No,Yes,12.0
128,27,96 Texas Plaza,3218,VIC,Australia,7,2017-04-08,False,Approved,Solex,Standard,medium,large,202.62,151.96,42458.0,Klees,Klees,Male,37.0,1978-09-25,Research Nurse,Health,Mass Customer,No,Yes,12.0
129,28,48 Eagan Avenue,4868,QLD,Australia,4,2017-10-08,True,Approved,Solex,Standard,medium,medium,1483.2,99.59,33879.0,Zellmer,Zellmer,Male,5.0,1973-09-30,Senior Quality Engineer,Health,Affluent Customer,No,Yes,21.0
130,28,48 Eagan Avenue,4868,QLD,Australia,4,2017-07-21,True,Approved,OHM Cycles,Road,high,large,12.01,7.21,34244.0,Zellmer,Zellmer,Male,5.0,1973-09-30,Senior Quality Engineer,Health,Affluent Customer,No,Yes,21.0
131,28,48 Eagan Avenue,4868,QLD,Australia,4,2017-07-16,False,Approved,Norco Bicycles,Standard,high,medium,1148.64,689.18,38339.0,Zellmer,Zellmer,Male,5.0,1973-09-30,Senior Quality Engineer,Health,Affluent Customer,No,Yes,21.0
132,28,48 Eagan Avenue,4868,QLD,Australia,4,2017-04-20,True,Approved,WeareA2B,Standard,medium,medium,1992.93,762.63,33888.0,Zellmer,Zellmer,Male,5.0,1973-09-30,Senior Quality Engineer,Health,Affluent Customer,No,Yes,21.0
133,28,48 Eagan Avenue,4868,QLD,Australia,4,2017-01-31,True,Approved,Trek Bicycles,Standard,high,medium,495.72,297.43,34996.0,Zellmer,Zellmer,Male,5.0,1973-09-30,Senior Quality Engineer,Health,Affluent Customer,No,Yes,21.0
134,28,48 Eagan Avenue,4868,QLD,Australia,4,2017-01-23,True,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,41922.0,Zellmer,Zellmer,Male,5.0,1973-09-30,Senior Quality Engineer,Health,Affluent Customer,No,Yes,21.0
135,29,9 Buell Park,4116,QLD,Australia,7,2017-12-08,True,Approved,Solex,Standard,medium,medium,1577.53,826.51,40618.0,Sancraft,Sancraft,Female,62.0,1968-06-22,Safety Technician III,Manufacturing,Mass Customer,No,No,19.0
136,29,9 Buell Park,4116,QLD,Australia,7,2017-10-12,False,Approved,WeareA2B,Standard,medium,medium,1807.45,778.69,42145.0,Sancraft,Sancraft,Female,62.0,1968-06-22,Safety Technician III,Manufacturing,Mass Customer,No,No,19.0
137,29,9 Buell Park,4116,QLD,Australia,7,2017-09-16,False,Approved,Giant Bicycles,Standard,high,medium,1179.0,707.4,35667.0,Sancraft,Sancraft,Female,62.0,1968-06-22,Safety Technician III,Manufacturing,Mass Customer,No,No,19.0
138,29,9 Buell Park,4116,QLD,Australia,7,2017-08-30,True,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,40672.0,Sancraft,Sancraft,Female,62.0,1968-06-22,Safety Technician III,Manufacturing,Mass Customer,No,No,19.0
139,29,9 Buell Park,4116,QLD,Australia,7,2017-08-22,False,Approved,Trek Bicycles,Road,medium,medium,290.62,215.14,38339.0,Sancraft,Sancraft,Female,62.0,1968-06-22,Safety Technician III,Manufacturing,Mass Customer,No,No,19.0
140,29,9 Buell Park,4116,QLD,Australia,7,2017-04-10,True,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,35455.0,Sancraft,Sancraft,Female,62.0,1968-06-22,Safety Technician III,Manufacturing,Mass Customer,No,No,19.0
141,29,9 Buell Park,4116,QLD,Australia,7,2017-03-28,False,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,35455.0,Sancraft,Sancraft,Female,62.0,1968-06-22,Safety Technician III,Manufacturing,Mass Customer,No,No,19.0
142,29,9 Buell Park,4116,QLD,Australia,7,2017-01-25,False,Approved,Solex,Standard,low,medium,1289.85,74.51,39427.0,Sancraft,Sancraft,Female,62.0,1968-06-22,Safety Technician III,Manufacturing,Mass Customer,No,No,19.0
143,29,9 Buell Park,4116,QLD,Australia,7,2017-01-04,False,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,35470.0,Sancraft,Sancraft,Female,62.0,1968-06-22,Safety Technician III,Manufacturing,Mass Customer,No,No,19.0
147,31,2294 Pleasure Place,2135,New South Wales,Australia,12,2017-10-02,True,Approved,Solex,Standard,medium,medium,71.49,53.62,38573.0,Praton,Praton,Female,3.0,1962-11-24,Staff Accountant III,Telecommunications,High Net Worth,No,Yes,14.0
148,31,2294 Pleasure Place,2135,New South Wales,Australia,12,2017-07-15,True,Approved,Solex,Standard,medium,medium,575.27,431.45,42404.0,Praton,Praton,Female,3.0,1962-11-24,Staff Accountant III,Telecommunications,High Net Worth,No,Yes,14.0
149,31,2294 Pleasure Place,2135,New South Wales,Australia,12,2017-05-25,True,Approved,OHM Cycles,Road,medium,medium,742.54,667.4,41701.0,Praton,Praton,Female,3.0,1962-11-24,Staff Accountant III,Telecommunications,High Net Worth,No,Yes,14.0
150,31,2294 Pleasure Place,2135,New South Wales,Australia,12,2017-03-21,False,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,41064.0,Praton,Praton,Female,3.0,1962-11-24,Staff Accountant III,Telecommunications,High Net Worth,No,Yes,14.0
151,32,2951 Petterle Place,2756,New South Wales,Australia,9,2017-08-14,False,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,42404.0,Vanichkin,Vanichkin,Female,17.0,1995-04-20,Legal Assistant,Manufacturing,Affluent Customer,No,No,4.0
152,32,2951 Petterle Place,2756,New South Wales,Australia,9,2017-06-01,True,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,41434.0,Vanichkin,Vanichkin,Female,17.0,1995-04-20,Legal Assistant,Manufacturing,Affluent Customer,No,No,4.0
153,32,2951 Petterle Place,2756,New South Wales,Australia,9,2017-05-09,False,Approved,Solex,Standard,medium,large,202.62,151.96,42458.0,Vanichkin,Vanichkin,Female,17.0,1995-04-20,Legal Assistant,Manufacturing,Affluent Customer,No,No,4.0
154,32,2951 Petterle Place,2756,New South Wales,Australia,9,2017-05-05,False,Approved,Solex,Road,medium,small,1703.52,1516.13,40649.0,Vanichkin,Vanichkin,Female,17.0,1995-04-20,Legal Assistant,Manufacturing,Affluent Customer,No,No,4.0
155,32,2951 Petterle Place,2756,New South Wales,Australia,9,2017-04-12,True,Approved,Solex,Standard,medium,large,1071.23,380.74,35160.0,Vanichkin,Vanichkin,Female,17.0,1995-04-20,Legal Assistant,Manufacturing,Affluent Customer,No,No,4.0
156,32,2951 Petterle Place,2756,New South Wales,Australia,9,2017-03-26,False,Approved,Giant Bicycles,Standard,medium,large,569.56,528.43,37874.0,Vanichkin,Vanichkin,Female,17.0,1995-04-20,Legal Assistant,Manufacturing,Affluent Customer,No,No,4.0
157,32,2951 Petterle Place,2756,New South Wales,Australia,9,2017-01-14,False,Approved,Solex,Standard,medium,medium,1151.96,649.49,36498.0,Vanichkin,Vanichkin,Female,17.0,1995-04-20,Legal Assistant,Manufacturing,Affluent Customer,No,No,4.0
